id,retweet_count,date_created,tweet
1511012814525276160,8,2022-04-04 16:08:22+00:00,b'RT @sagezza2: South Africans en masse reject the President of South Africa Incorporated.(the foreign owned company listed in NewYork) they\xe2\x80\xa6'
1511012814130884615,25,2022-04-04 16:08:22+00:00,b'RT @MSF_access: We urge @wto members to reject the current text and pursue a more ambitious outcome for a game-changing waiver that support\xe2\x80\xa6'
1511012806161743872,0,2022-04-04 16:08:20+00:00,b'Elon investing in Twitter makes me feel a lot more safe and I know he\xe2\x80\x99s a real one because he\xe2\x80\x99s from South Africa a\xe2\x80\xa6 https://t.co/1ANQBqNKaH'
1511012791993475075,2,2022-04-04 16:08:17+00:00,"b'RT @NewsCentralTV: @collinsnweke, Kayode Eesuola, and Sharon Ekambaran, are set for #TheConversation with @Gbenga_Aborowa and @OmodiaRita,\xe2\x80\xa6'"
1511012782988267525,0,2022-04-04 16:08:15+00:00,"b'@lelo_lenkoe ""God help South Africa""'"
1511012782359121923,0,2022-04-04 16:08:15+00:00,b'Rahima Moosa hospital: Pregnant moms\xe2\x80\x99 overcrowding nightmare\nhttps://t.co/mM3p2MMzWf'
1511012779918258181,14,2022-04-04 16:08:14+00:00,"b'RT @BCBtigers: 1st test, Stumps day 5: South Africa won by 220 runs.\n\n#BCB #cricket #SAvBAN https://t.co/8SAfWJHRk2'"
1511012768635305990,44,2022-04-04 16:08:11+00:00,b'RT @EretzIsrael: .@BDSmovement incessantly and cynically compares Israel to Apartheid South Africa. A useful reminder of what apartheid rea\xe2\x80\xa6'
1511012764617256961,119,2022-04-04 16:08:11+00:00,"b""RT @DrJasonJohnson: South Africa doesn't just have a better constitution than the United States (as @ElieNYC recently said on my podcast) b\xe2\x80\xa6"""
1511012750310395906,3,2022-04-04 16:08:07+00:00,b'#BreakThrSilence\xf0\x9f\x91\x89\xf0\x9f\x8f\xbcTime for African Leaders to focus on Food Sovereignty!  Food Security &amp; AID dependency on US/UK/E\xe2\x80\xa6 https://t.co/toFI4UG87l'
1511012745541525509,7,2022-04-04 16:08:06+00:00,b'RT @Marijuana_RSA: Experiencing a Cannabis Expo in Cape Town South Africa! \xf0\x9f\x8c\xb1\n\nIn this video we take a trip to the Cannabis Expo in Cape Tow\xe2\x80\xa6'
1511012730379063301,3,2022-04-04 16:08:02+00:00,b'RT @CashNSport: Question To Football Fans\n\nHow much do you think the average professional footballer earns monthly (weekly wages are a myth\xe2\x80\xa6'
1511012723982626817,119,2022-04-04 16:08:01+00:00,"b""RT @DrJasonJohnson: South Africa doesn't just have a better constitution than the United States (as @ElieNYC recently said on my podcast) b\xe2\x80\xa6"""
1511012716340731906,3717,2022-04-04 16:07:59+00:00,b'RT @thisha_omuhle: You\xe2\x80\x99re not careless with money or bad at budgeting. The cost of living in South Africa is genuinely absurd.'
1511012712574242823,4750,2022-04-04 16:07:58+00:00,b'RT @aa_adetomiwa: Nothing is touching Shakira\xe2\x80\x99s 2010 World Cup sound track\n\nSouth Africa \xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 2010&gt;&gt;&gt;&gt;&gt;&gt;\xf0\x9f\x92\xab\xf0\x9f\x8c\x8f https://t.co/dVL2Iu7Tiw'
1511012709403398147,1410,2022-04-04 16:07:57+00:00,"b'RT @DrEricDing: Watching\xe2\x80\x94South Africa\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 may have a new subvariant, 66% dominant\xe2\x80\x94the BA2+L452R group is a #BA2 subtype that mixes with an in\xe2\x80\xa6'"
1511012707994066956,7,2022-04-04 16:07:57+00:00,"b'RT @Nhlanhlalucan: Illegal foreigners drive illegally imported cars  from Zimbabwe, Mozambique and Lesotho freely here in South Africa yet\xe2\x80\xa6'"
1511012689392377859,4805,2022-04-04 16:07:53+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012672795467781,177,2022-04-04 16:07:49+00:00,b'RT @BTSChartsDailyx: #26 Kazakhstan (+7)\n#32 Japan (+21)\n#43 United States (NE)\n#52 Spain (NE)\n#64 Malaysia (+19)\n#68 Turkey (NE)\n#71 Indon\xe2\x80\xa6'
1511012659323412489,0,2022-04-04 16:07:45+00:00,b'@eccyboo @lavern_spicer @elonmusk I mean he is from South Africa'
1511012657079410696,69,2022-04-04 16:07:45+00:00,"b""RT @TakieQn: Gash1 is a mechanical engineer with engineering business ideas South Africa don't fail my guy #Gash1\n#BBMzansi\n#DearGash1"""
1511012653283614728,2,2022-04-04 16:07:44+00:00,"b'In the 1930s, the German airline Lufthansa used the Dornier Do J to make the ocean crossing from Africa to South Am\xe2\x80\xa6 https://t.co/NxSSH5njJ9'"
1511012635306864641,0,2022-04-04 16:07:40+00:00,"b""You'll NEVER read this about South Africa. https://t.co/BWPB8RsLAn"""
1511012624779124744,1410,2022-04-04 16:07:37+00:00,"b'RT @DrEricDing: Watching\xe2\x80\x94South Africa\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 may have a new subvariant, 66% dominant\xe2\x80\x94the BA2+L452R group is a #BA2 subtype that mixes with an in\xe2\x80\xa6'"
1511012622019305479,167,2022-04-04 16:07:37+00:00,"b""RT @ElieNYC: Again, the key takeaway is that South Africa DID SOMETHING about their corrupt former president.\n\nMerrick Garland if you're li\xe2\x80\xa6"""
1511012616243613696,1410,2022-04-04 16:07:35+00:00,"b'RT @DrEricDing: Watching\xe2\x80\x94South Africa\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 may have a new subvariant, 66% dominant\xe2\x80\x94the BA2+L452R group is a #BA2 subtype that mixes with an in\xe2\x80\xa6'"
1511012590180261893,198,2022-04-04 16:07:29+00:00,b'RT @MmusiMaimane: South Africa has represented itself well on the global stage. \n\nCongratulations to Trevor Noah and Black Coffee for their\xe2\x80\xa6'
1511012583242964992,4805,2022-04-04 16:07:27+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012583024832535,10,2022-04-04 16:07:27+00:00,"b""RT @louisa1000: India to get cheetahs from South Africa, if not from Namibia, say officials involved in the world's first translocation of\xe2\x80\xa6"""
1511012582219468804,1085,2022-04-04 16:07:27+00:00,"b'RT @SirJerryMokoena: Cyril must stop selling the idea that South Africa needs a renewed ANC. What South Africa needs is a fresh start, one\xe2\x80\xa6'"
1511012564494426116,0,2022-04-04 16:07:23+00:00,"b""Ain't no tribalism amongst black SAns. It's just Twitter nonsense. We get along just fine when we meet up. Just tha\xe2\x80\xa6 https://t.co/VgqkGDAUXN"""
1511012562346950659,4805,2022-04-04 16:07:22+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012561386450944,4805,2022-04-04 16:07:22+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012560807493637,18,2022-04-04 16:07:22+00:00,b'RT @ICC: South Africa have taken an unassailable 1-0 lead in the series.\n\n#WTC23 | #SAvBAN report \xf0\x9f\x91\x87'
1511012558190391296,119,2022-04-04 16:07:21+00:00,"b""RT @DrJasonJohnson: South Africa doesn't just have a better constitution than the United States (as @ElieNYC recently said on my podcast) b\xe2\x80\xa6"""
1511012541622853632,4805,2022-04-04 16:07:17+00:00,b'RT @Manqoba_Mbuli: South Africa here is the Fastest under-18 female sprinter in the WORLD 17 year old Viwe Jingqi\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\x8f\x81\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/\xe2\x80\xa6'
1511012526284234762,0,2022-04-04 16:07:14+00:00,b'the westerners raising concern for fifa being held in qatar using gay and women\xe2\x80\x99s rights in the country as the main\xe2\x80\xa6 https://t.co/Fb6hpY4jOK'
1511012525713858562,78,2022-04-04 16:07:14+00:00,b'RT @wilkinsoncape: South Africa under ANC misrule in one paragraph. https://t.co/Uq8Vlprr5G'
1511012517140697089,63,2022-04-04 16:07:11+00:00,"b""RT @TQ22AMU: Daughter of a vegetable vendor in Lucknow is playing in the ongoing Junior Women's Hockey World Cup in South Africa. Her name\xe2\x80\xa6"""
